algorithm,mean_absolute_error,median_absolute_error,mean_squared_error,mean_absolute_percentage_error,rms_error,mean_squared_log_error,r_squared,error_mean,error_midrange,error_median,error_variance,error_mad,error_iqr,error_skewness,error_kurtosis,error_min,error_max,cardinality
ExtraTreeRegressor,8.8807221177945,8.1775480769231,134.05030618679,11.39784960727,11.578009595211,0.019357453305256,0.45815518381557,1.7291513639869,11.964363553114,1.4535485347985,131.06034174721,7.3083264652015,15.268594322344,0.89190845368732,1.7337625103793,-16.92168956044,40.850416666667,38
GradientBoost,11.50105021117,10.236702920323,205.09967533941,14.876356911649,14.321301454107,0.030651734325779,0.17096648978246,1.8829327408517,11.947408017744,0.90411289144464,201.55423963284,10.665710417534,21.526482720443,0.62388013862645,0.53330560375049,-21.548043118793,45.442859154281,38
KDNeighborsRegressor,10.276435051917,8.5136104425042,166.34330843048,13.278245445812,12.897414796403,0.025184521935655,0.32762362172876,1.7762888969668,10.207985271228,2.3360062471617,163.188106185,8.6111253333575,17.338124096423,0.58485934138743,0.93509308676864,-21.549239415727,41.965209958183,38
KNNRegressor,8.6921459832854,7.2456453314229,127.19676481166,11.171477763261,11.278154317603,0.018141429900653,0.4858578871682,1.6752543907775,12.474521551944,0.28551135927727,124.39028753784,7.2456453314229,15.126763872778,0.9765244994617,2.0296861561767,-15.754399442924,40.703442546813,38
RadiusNeighborsRegressor,10.814861236444,9.9526005505894,188.55652329004,14.357226799278,13.731588520271,0.026947080305589,0.23783557375763,4.6750196387321,14.33082258175,4.1008168523858,166.70071466751,9.7872727338023,19.574545467605,0.58247062967386,0.76566753485897,-16.908869705858,45.570514869359,38
RegressionTree,10.649714912281,9.7766666666667,182.87889413377,13.867823272875,13.52327231604,0.026587256247957,0.26078512168523,2.7384429824561,12.424583333333,1.6745833333333,175.37982416561,10.03625,18.604166666667,0.70089026389283,0.92136013239768,-20.189166666667,45.038333333333,38
Ridge,9.4210166347669,8.0035333431741,140.06512446349,12.112500431221,11.834911257102,0.020460512799648,0.4338426835593,1.4887498168168,12.149431216343,1.3155579903058,137.84874844642,8.2135006694165,16.625469332897,0.85367469238474,1.3608389581599,-16.304382776776,40.603245209462,38
