,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPOSISI %,,Category,,,,Ester,Ester,Additive,Base Oil,Base Oil,Base Oil,,,Ester,,,,VM,VM,,,,,,,,,,,,,,,Hasil Pengukuran,,,,,,,,
No,Tanggal,Entry,Genlube 135,Genlube 165,Genlube 6165,Genlube 0831,Triester ,CV 1103,Cosco S4,Cosco S6,Cosco S8,N 150,N 500,Priolube (Palm Ester 3970),PAMA 52%,PAMA 62%-Z1,"SPAMA 20/5 - 41,5%",VM -  NMM (HV),VM - SPAMA 52%,Lucant HC 600,RF 6066,Lubrizol VL 9101F,FC 9250,FC 9270,WN 1014,WN 2018,WN 2112,WN 2118,WN 7014,WN 9014,WN 2010 B,PV 1510,Total,KV 40,KV 100,Vi,HTHS (mPa.S),CCS (mPa.S),Pour Point (C),Noack (%),4 Ball (WSD/Coef Friction,Flash Point (C)
131,12 Oktober 2020,5W30 - R4 - Improve 6,,,,5,5,,,,75.72,,,,,,,,6,,,,,,,,,,,,,8.28,100,64.785,10.175,143.258,3.357,,,,,
132,12 Oktober 2020,5W30 - R4 - Improve 7,,,,5,5,,,,74.72,,,,,,,,7,,,,,,,,,,,,,8.28,100,66.28,10.36,143.457,3.419,,,,,
133,13 Oktober 2020,20W50 - R4 - 01,,,,10,,,,,21.69,,50.61,,,,,9,,,,,,,8.7,,,,,,,,100,151.66,21.09,163.352,,,,,,
134,13 Oktober 2020,20W50 - R4 - 02,,,,10,,,,,21.39,,49.91,,,,,10,,,,,,,8.7,,,,,,,,100,160.46,21.965,160.016,,,,,,
135,13 Oktober 2020,20W50 - R4 - 03,,,,10,,,,,14.46,,57.84,,,,,9,,,,,,,8.7,,,,,,,,100,143.1,20.815,169.632,,,,,,
136,13 Oktober 2020,20W50 - R4 - 04,,,,10,,,,,14.26,,57.04,,,,,10,,,,,,,8.7,,,,,,,,100,163.84,21.875,159.119,,,,,,
137,13 Oktober 2020,15W40 - R4 - 01,,,,,10,,,,36.9,,36.9,,,,,7.5,,,,,,,8.7,,,,,,,,100,119.07,15.825,140.91,4.399,,,,,
138,13 Oktober 2020,15W40 - R4 - 02,,,,,10,,,,36.65,,36.65,,,,,8,,,,,,,8.7,,,,,,,,100,119.71,17.365,159.649,4.42,,,,,
139,13 Oktober 2020,15W40 - R4 - 03,,,,,10,,,,29.52,,44.28,,,,,7.5,,,,,,,8.7,,,,,,,,100,123.32,16.375,142.613,4.452,,,,,
140,13 Oktober 2020,15W40 - R4 - 04,,,,,10,,,,29.32,,43.98,,,,,8,,,,,,,8.7,,,,,,,,100,125.545,17.07,151.027,4.537,,,,,
141,14 Oktober 2020,F 540 - 32,,,,,10,14.3,25,20,20.7,,,,,,,,10,,,,,,,,,,,,,,100,70.39,10.965,146.253,,,,,,
142,14 Oktober 2020,F 540 - 33,,,,,10,14.3,30,20,15.7,,,,,,,,10,,,,,,,,,,,,,,100,67.51,10.66,146.982,,,,,,
143,14 Oktober 2020,F 540 - 34,,,,,5,14.3,30,20,15.7,,,5,,,,,10,,,,,,,,,,,,,,100,61.41,9.77,143.069,,,,,,
144,14 Oktober 2020,F 540 - 35,,,,,5,14.3,35,23.33,7.37,,,5,,,,,10,,,,,,,,,,,,,,100,57.64,9.63,151.441,3.32,,,,,
145,14 Oktober 2020,10W30 - R2 - Improve 3,5,,,5,,,,,75.55,,,,,,,,6,,,,,7.65,,0.6,,,,0.2,,,100,64.23,10.015,140.953,3.01,,,5.20%,,
146,14 Oktober 2020,5W30 - R4 - Improve 4,,,,,10,,,76.72,,,,,,,,,5,,,,,,,,,,,,,8.28,100,59.44,9.115,132.014,3.04,,,,,
147,14 Oktober 2020,5W30 - R4 - Improve 5,,,,,10,,,75.72,,,,,,,,,6,,,,,,,,,,,,,8.28,100,56.6,10.67,182.185,2.87,,,,,
148,14 Oktober 2020,5W30 - R4 - Improve 6,,,,5,5,,,75.72,,,,,,,,,6,,,,,,,,,,,,,8.28,100,50.535,8.34,139.356,2.97,,,,,
149,14 Oktober 2020,5W30 - R4 - Improve 7,,,,5,5,,,74.72,,,,,,,,,7,,,,,,,,,,,,,8.28,100,53.015,8.785,143.967,3.719,,,,,
150,15 Oktober 2020,F 540 - 36,,,,,5,14.3,10,40,15.7,,,5,,,,,10,,,,,,,,,,,,,,100,67.94,10.99,153.263,3.719,,,,,
151,15 Oktober 2020,20W50 - R4 - 01 - A1,,,,,10,,,,23.69,,50.61,,,,,7,,,,,,,8.7,,,,,,,,100,132.555,17.165,141.537,4.5,,,,,
152,15 Oktober 2020,20W50 - R4 - 01 - A2,,,,,10,,,,22.69,,50.61,,,,,8,,,,,,,8.7,,,,,,,,100,133.15,17.46,144.348,4.56,,,,,
153,15 Oktober 2020,5W40 - R4 - Improve 5 Recheck,,,,,10,,,75.72,,,,,,,,,6,,,,,,,,,,,,,8.28,100,55.505,9.285,149.442,,,,,,
154,15 Oktober 2020,TRL SAE 10W40 MB-SN Recheck,10,,,,,,,,73.75,,,,,,,7.8,,,,,,7.65,,0.6,,,,0.2,,,100,87.955,14.145,166.272,4.13,,,,,
155,16 Oktober 2020,5W30 - R4 - Improve 5 S6 6.5%,,,,,10,,,75.22,,,,,,,,,6.5,,,,,,,,,,,,,8.28,100,57.97,9.63,150.334,3.09,,,,,
156,16 Oktober 2020,5W30 - R4 - Improve 5 S6 7%,,,,,10,,,74.72,,,,,,,,,7,,,,,,,,,,,,,8.28,100,58.735,9.705,149.789,3.18,,,,,
157,16 Oktober 2020,F 540 - 37,,,,,10,14.3,10,40,15.7,,,,,,,,10,,,,,,,,,,,,,,100,76.625,11.65,145.47,3.82,,,,,
158,16 Oktober 2020,F 540 - 38,,,,,5,14.3,10,30,25.7,,,5,,,,,10,,,,,,,,,,,,,,100,70.355,11.14,150.18,3.73,,,,,
159,16 Oktober 2020,F 540 - 39,,,,,10,14.3,10,30,25.7,,,,,,,,10,,,,,,,,,,,,,,100,80.32,11.89,142.075,,,,,,
160,16 Oktober 2020,F 540 - 40,,,,,10,14.3,,30,37.7,,,,,,,8,,,,,,,,,,,,,,,100,97.19,14.965,161.533,,,,,,
161,16 Oktober 2020,F 540 - 41,,,,,5,14.3,20,40,5.7,,,5,,,,,10,,,,,,,,,,,,,,100,65.2,10.125,140.903,,,,,,
162,16 Oktober 2020,F 540 - 42,,,,,5,14.3,20,30,15.7,,,5,,,,,10,,,,,,,,,,,,,,100,66.88,10.505,145.171,,,,,,
163,16 Oktober 2020,F 540 - 43,,,,,10,14.3,,20,45.7,,,,,,,,10,,,,,,,,,,,,,,100,90.565,12.77,138.219,,,,,,
164,16 Oktober 2020,F 540 - 44,,,,,10,14.3,,25,40.7,,,,,,,,10,,,,,,,,,,,,,,100,89.215,12.835,141.772,,,,,,
165,19 Oktober 2020,1A TRL SAE 10W80 MB/SN,17.5,,,17.5,,,,,260.93,,,,,,,,24.5,,,,,26.77,,2.1,,,,0.7,,,350,66.335,10.5,146.543,3.396,5699.65,-31,5.44,,
166,19 Oktober 2020,1B TRL  SAE 10W40 MB/SN,35,,,,,,,,258.13,,,,,,,27.3,,,,,,26.77,,2.1,,,,0.7,,,350,88.92,14.42,168.682,4.097,6190.18,-28,4.42,,
167,19 Oktober 2020,2A TRL SAE 0W20 GF6/SN,,,,,35,,183.05,78.47,,,,,,,,,24.5,,,,,,,,,,,,,28.98,350,44.91,8.12,155.875,2.699,9684.48,-34,11.58,,
168,19 Oktober 2020,2B TRL SAE 5W30 GF6/SP,,,,,35,,,158.27,105,,,,,,,,22.75,,,,,,,,,,,,,28.98,350,63.5,10.04,143.642,3.36,9373.76,-28,6.37,,
169,19 Oktober 2020,2C TRL SAE 10W40 GF5/SN PLUS,,,,,35,,,,258.13,,,,,,,26.42,,,,,,,30.45,,,,,,,,350,89.305,14.015,161.473,4.069,6160.36,-25,5.12,,
170,19 Oktober 2020,2D TRL SAE 15W40 GF5/SN,,,,,35,,,,153.3,,105,,,,,26.25,,,,,,,30.45,,,,,,,,350,121.32,16.045,140.896,4.344,6180.13,-27,5.63,,
171,19 Oktober 2020,2E TRL SAE 20W50 GF5/SN,,,,,35,,,,78.05,,182,,,,,24.5,,,,,,,30.45,,,,,,,,350,134.875,17.055,137.741,4.574,9491.12,-24,6.08,,
172,19 Oktober 2020,3A TRL SAE 5W30 CK-4 (DIESEL),5,,,5,,14.3,,69,,,,,,,,,6.5,,,,,,,,,,,0.2,,,100,61.68,9.775,142.385,3.203,,,,,
173,19 Oktober 2020,3B TRL SAE 5W40 CK-4 (DIESEL),5,,,5,,14.3,,,66.5,,,,,,,,9,,,,,,,,,,,0.2,,,100,81.705,12.005,141.366,3.924,,,,,
174,19 Oktober 2020,3C TRL SAE 15W40 CI-4,10,,,,,11.8,,,43.7,,27,,,,,7.5,,,,,,,,,,,,,,,100,107.83,15.42,150.865,4.312,,,,,
175,19 Oktober 2020,TRL SAE 10W40 GF5/SN PLUS,300,,,,,,,,2212.5,,,,,,,226.5,,,,,,,261,,,,,,,,3000,96.475,15.02,163.652,,,,,,
176,19 Oktober 2020,VM-HV (PAMA 30%),,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,100,946.225,246.625,379.289,,,,,,
177,20 Oktober 2020,F 540 - 45,,,,,10,14.3,,30,35.7,,,,,,,,10,,,,,,,,,,,,,,100,85.36,12.2,141.729,,,,,,
178,20 Oktober 2020,F 540 - 46,,,,,10,14.3,,35,30.7,,,,,,,,10,,,,,,,,,,,,,,100,85.38,12.475,142.721,,,,,,
179,20 Oktober 2020,F 540 - 47,,,,,10,14.3,25,25,15.7,,,,,,,,10,,,,,,,,,,,,,,100,70.205,10.875,144.736,,,,,,
180,20 Oktober 2020,F 540 - 48,,,,,10,14.3,20,20,25.7,,,,,,,,10,,,,,,,,,,,,,,100,74.81,11.41,144.751,,,,,,
181,20 Oktober 2020,F 540 - 49,,,,,10,14.3,20,25,20.7,,,,,,,,10,,,,,,,,,,,,,,100,73.21,11.3,146.36,,,,,,
182,20 Oktober 2020,F 540 - 50,,,,,10,14.3,15,26.25,24.45,,,,,,,,10,,,,,,,,,,,,,,100,77.68,11.715,144.394,,,,,,
183,20 Oktober 2020,F 540 - 51,,,,,10,14.3,26.25,15,24.45,,,,,,,,10,,,,,,,,,,,,,,100,71.875,11.1,145.442,,,,,,
184,21 Oktober 2020,F 540 - 52,,,,,10,14.3,30.625,17.5,17.575,,,,,,,,10,,,,,,,,,,,,,,100,69.585,10.95,147.991,,,,,,
185,21 Oktober 2020,F 540 - 53,,,,,10,14.3,28.875,16.5,20.325,,,,,,,,10,,,,,,,,,,,,,,100,70.61,10.86,143.382,,,,,,
186,21 Oktober 2020,F 540 - 54,,,,,10,14.3,35,20,15.7,,,,,,,5,,,,,,,,,,,,,,,100,63.47,10.645,158.2,,,,,,
187,21 Oktober 2020,F 540 - 55,,,,,10,14.3,35,25,9.7,,,,,,,6,,,,,,,,,,,,,,,100,68.31,11.45,162.204,,,,,,
188,21 Oktober 2020,1. TRL 0W20 GF6/SP,,,,2.5,7.5,,52.3,22.42,,,,,,,,,7,,,,,,,,,,,,,8.28,100,41.985,7.605,150.725,2.598,,,,,
189,21 Oktober 2020,2. TRL 5W30 GF6/SP,,,,5,5,,,29.72,45,,,,,,,,7,,,,,,,,,,,,,8.28,100,59.03,9.675,148.044,3.163,,,,,
190,21 Oktober 2020,3. TRL 15W40 GF5/SN,,,,,10,,,,49.3,,25,,,,,7,,,,,,,8.7,,,,,,,,100,104.21,14.79,147.429,4.144,,,,,
191,21 Oktober 2020,4. TRL 5W40 CK-4,,,,5,5,14.3,,,68.5,,,,,,,7,,,,,,,,,,,,0.2,,,100,89.395,14,161.054,4.093,,,,,
192,21 Oktober 2020,0W20 (2),7.5,,,2.5,,,32,42.72,,,,,,,,,7,,,,,,,,,,,,,8.28,100,-,8.345,-,,,,,,
193,22 Oktober 2020,F 540 - 56,,,,,10,14.3,40,29.2,,,,,,,,6.5,,,,,,,,,,,,,,,100,66.525,11.19,161.67,,,,,,
194,22 Oktober 2020,F 540 - 57,,,,,10,14.3,39.2,25,5,,,,,,,6.5,,,,,,,,,,,,,,,100,66.78,11.365,164.722,,,,,,
195,22 Oktober 2020,F 540 - 58,,,,,10,14.3,35,26.2,7,,,,,,,7.5,,,,,,,,,,,,,,,100,72.915,12.215,165.838,,,,,,
196,22 Oktober 2020,5W30 - 3,5,,,5,,,,30.72,45,,,,,,,6,,,,,,,,,,,,,,8.28,100,68.44,11.415,161.073,,,,,,
197,22 Oktober 2020,0W20 - 3,,,,5,5,,32,42.72,,,,,,,,,7,,,,,,,,,,,,,8.28,100,44.435,8.01,154.109,,,,,,
198,22 Oktober 2020,FG 020 - 1,,,,,,,68.72,10,,,,10,,,,3,,,,,,,,,,,,,,8.28,100,33.41,6.845,170.158,,,,,,
199,22 Oktober 2020,FG 020 - 2,,,,,,,65.72,10,,,,10,,,,,6,,,,,,,,,,,,,8.28,100,-,6.655,-,,,,,,
200,23 Oktober 2020,FG 020 - 3,,,,,,,67.22,10,,,,10,,,,4.5,,,,,,,,,,,,,,8.28,100,36.36,7.32,171.696,,,,,,
201,23 Oktober 2020,FG 020 - 4,,,,,,,63.72,15,,,,10,,,,3,,,,,,,,,,,,,,8.28,100,34.24,6.89,166.313,,,,,,
202,23 Oktober 2020,FG 020 - 5,,,,,,,59.72,15,,,,10,,,,,7,,,,,,,,,,,,,8.28,100,35.175,6.84,157.362,,,,,,
203,23 Oktober 2020,FG 020 - 6,,,,,,,54.72,20,,,,10,,,,,7,,,,,,,,,,,,,8.28,100,36.82,-,-,,,,,,
204,23 Oktober 2020,FG 020 - 7,,,,,,,46.72,30,,,,10,,,,5,,,,,,,,,,,,,,8.28,100,41.565,8.14,174.039,,,,,,
205,23 Oktober 2020,FG 020 - 8,,,,,,,36.72,40,,,,10,,,,5,,,,,,,,,,,,,,8.28,100,42.99,8.405,176.087,,,,,,
206,23 Oktober 2020,Genlube 165,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,611.27,51.48,142.461,,,-19,7.27,,
207,23 Oktober 2020,S6 Sol 1% in Genlube 165 ,,,99,,,,,1,,,,,,,,,,,,,,,,,,,,,,,100,-,46.52,-,,,,,,
208,23 Oktober 2020,S6 Sol 5% in Genlube 165 ,,,95,,,,,5,,,,,,,,,,,,,,,,,,,,,,,100,-,41.17,-,,,,,,
209,23 Oktober 2020,S6 Sol 10% in Genlube 165 ,,,90,,,,,10,,,,,,,,,,,,,,,,,,,,,,,100,-,35.075,-,,,,,,
210,23 Oktober 2020,S6 Sol 10% in Genlube 165 ,,,90,,,,,10,,,,,,,,,,,,,,,,,,,,,,,100,-,36.72,-,,,,,,
211,23 Oktober 2020,S6 Sol 12% in Genlube 165 ,,,88,,,,,12,,,,,,,,,,,,,,,,,,,,,,,100,347.57,35.56,147.144,,,,,,
212,26 Oktober 2020,1. Reformulasi 5W30 MA2 / SN,,,10,,,,,38.5,38.5,,,,,,,,,,,,,,,,,5.9,0.9,0.2,6,,100,83.47,12.715,150.901,4.041,,,,,
213,26 Oktober 2020,2. Reformulasi 5W30 MA2 / SN,,,10,,,,30.6,45.9,,,,,,,,,,,,,,,,,,5.9,0.9,0.2,6.5,,100,63.945,10.75,156.225,3.45,,,,,
214,26 Oktober 2020,Reformulasi TRL 10W30 MB/SN,,,10,,,,,50.55,25,,,,,,,,6,,,,,7.65,,0.6,,,,0.2,,,100,75.415,9.55,103.937,3.354,,,,,
215,26 Oktober 2020,Reformulasi TRL 10W40 MB/SN,,,10,,,,,,74.05,,,,,,,7.5,,,,,,7.65,,0.6,,,,0.2,,,100,96.385,14.125,150.204,4.149,,,,,
216,26 Oktober 2020,Reformulasi 10W30 MB/SL,,,5,,,,,23.3,60,,,,,,,,,,,,,,,0.6,,5.9,,0.2,5,,100,75.74,11.525,144.965,3.732,,,,,
217,26 Oktober 2020,Reformulasi 10W40 MB/SL,,,5,,,,,,80.8,,,,,,,,,,,,,,,0.6,,5.9,,0.2,7.5,,100,98.235,14.39,151.06,4.152,,,,,
218,26 Oktober 2020,Reformulasi 10W40 MA/SL,,,5,,,,,,81.4,,,,,,,,,,,,,,,,,5.9,,0.2,7.5,,100,94.405,14.3,156.359,4.148,,,,,
219,26 Oktober 2020,G 165 - B1,,,90,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,100,368.31,36.935,146.528,,,,,,
220,26 Oktober 2020,G 165 - B2,,,87.5,,,,,6.25,,,,6.25,,,,,,,,,,,,,,,,,,,100,321.26,-,-,,,,,,
221,26 Oktober 2020,G 165 - B3,,,85,,,,,7.5,,,,7.5,,,,,,,,,,,,,,,,,,,100,281.29,-,-,,,,,,
222,26 Oktober 2020,FG 020 - 9,,,,,,,40,35.22,,,,10,,,,6.5,,,,,,,,,,,,,,8.28,100,46.46,9.09,192.779,,,,,,
223,26 Oktober 2020,FG 020 - 10,,,,,,,36.22,40,,,,10,,,,5.5,,,,,,,,,,,,,,8.28,100,44.405,8.665,177.814,,,,,,
224,26 Oktober 2020,Reformulasi TRL 10W30 MB - SN2,,7,,3,,,,50.55,25,,,,,,,,6,,,,,7.65,,0.6,,,,0.2,,,100,58.635,9.45,143.396,3.156,,,,,
225,26 Oktober 2020,Reformulasi TRL 10W40 MB - SN2,,10,,,,,,24.55,50,,,,,,,7,,,,,,7.65,,0.6,,,,0.2,,,100,81.82,13.245,163.937,4.005,,,,,
226,26 Oktober 2020,X-Ten 10W30 MB - SL,,,5,,,,,,82.8,,,,,,,,,,,,,,,0.6,,5.9,,0.2,5.5,,100,83.89,12.52,146.504,,,,,,
227,26 Oktober 2020,X-Ten 10W40 MA - SL,,,5,,,,,,80.3,,,,,,,,,,,,,,,0.6,,5.9,,0.2,8,,100,97.98,14.985,160.457,,,,,,
228,26 Oktober 2020,X-Ten 10W40 MB - SL,,,5,,,,,,80.9,,,,,,,,,,,,,,,,,5.9,,0.2,8,,100,95.72,14.695,160.041,,,,,,
229,26 Oktober 2020,X-Ten 5W30 MA2 - SN,,,10,,,,35,,41.5,,,,,,,,,,,,,,,,,5.9,0.9,0.2,6.5,,100,72.765,11.65,154.675,,,,,,
230,27 Oktober 2020,Genlube 6 135,,880,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,1000,334,33.68,142.818,,,,,,
231,27 Oktober 2020,G 165 - B4,,,89,,,,,5.5,,,,5.5,,,,,,,,,,,,,,,,,,,100,363.435,35.09,139.673,,,,,,
232,27 Oktober 2020,5W30 X-Ten - 2,,,10,,,,35.5,,41.5,,,,,,,,,,,,,,,,,5.9,0.9,0.2,6,,100,70.04,11.385,156.098,,,,,,
233,27 Oktober 2020,5W30 X-Ten - 3,,,10,,,,36,,41.5,,,,,,,,,,,,,,,,,5.9,0.9,0.2,5.5,,100,66.12,10.9,156.304,,,,,,
234,28 Oktober 2020,10W40 - SP 1,,,10,,,,,,73.75,,,,,,,7.8,,,,,,7.65,,0.6,,,,0.2,,,100,88.795,14.055,163.128,,,,,,
235,28 Oktober 2020,10W40 - SP 2,,,10,,,,,,73.05,,,,,,,8.5,,,,,,7.65,,0.6,,,,0.2,,,100,91.5,14.89,170.954,,,,,,
236,28 Oktober 2020,X-TEN 10W30 MB-SL / TRL 1,,,5,,,,,,83.3,,,,,,,,,,,,,,,0.6,,5.9,,0.2,5,,100,79.99,12.42,152.831,,,,,,
237,28 Oktober 2020,X-TEN 10W30 MB-SL / TRL 2,,,5,,,,,,83.8,,,,,,,,,,,,,,,0.6,,5.9,,0.2,4.5,,100,78.3,11.825,145.177,,,,,,
238,28 Oktober 2020,X-TEN 10W30 MB-SL / TRL 3,,,5,,,,,23.8,60,,,,,,,,,,,,,,,0.6,,5.9,,0.2,4.5,,100,73.185,11.64,153.421,,,,,,
239,28 Oktober 2020,2. X-TEN 10W40 MB/SL TRL,,,100,,,,,,1606,,,,,,,,,,,,,,,12,,118,,4,160,,2000,99.9,14.985,157.178,,,,,,
240,28 Oktober 2020,3. X-TEN 10W40 MA/SL TRL,,,100,,,,,,1618,,,,,,,,,,,,,,,,,118,,4,160,,2000,97.53,14.665,156.422,,,,,,
241,28 Oktober 2020,F 540 - 29 Improve,,,8.9,,,14.3,,53.25,15,,,0.55,,,,8,,,,,,,,,,,,,,,100,93.91,14.46,159.692,,,,,,
242,28 Oktober 2020,F 540 - 55 Improve,,,8.9,,,14.3,35,25.55,9.7,,,0.55,,,,6,,,,,,,,,,,,,,,100,65.5,11.175,164.341,,,,,,
243,28 Oktober 2020,G 165 - B4 1kg,,,890,,,,,55,,,,55,,,,,,,,,,,,,,,,,,,1000,352.365,35.715,146.222,,,,,,
244,29 Oktober 2020,TRL 10W30 Improve (Genlube 135 diganti Genlube 6135,,,10,,,,,37.55,38,,,,,,,,6,,,,,7.65,,0.6,,,,0.2,,,100,65.305,10.26,143.818,,,,,,
245,29 Oktober 2020,X-TEN 5W30 - 3 TRL 2kg,,,200,,,,720,,830,,,,,,,,,,,,,,,,,118,18,4,110,,2000,65.64,10.965,159.185,,,,,,
246,29 Oktober 2020,TRL SAE 5W30 GF6/S8 Almaz,,175,,175,,,,1040.2,1575,,,,,,,,245,,,,,,,,,,,,,289.8,3500,62.545,10.01,145.698,,,,,,
247,29 Oktober 2020,X-TEN 10W30 MB/SL TRL 2kg,,,100,,,,,476,1200,,,,,,,,,,,,,,,12,,118,,4,90,,2000,71.695,11.56,155.509,,,,,,
248,02 November 2020,TRL 10W30 Improve 2,,,10,,,,,,75.55,,,,,,,,6,,,,,7.65,,0.6,,,,0.2,,,100,71.72,11.115,146.143,,,,,,
249,02 November 2020,FG 020 - 11,,,,,,,34.72,40,,,,10,,,,,7,,,,,,,,,,,,,8.28,100,40.69,7.6,157.42,,,,,,
250,02 November 2020,FG 020 - 12,,,,,,,34.22,40,,,,10,,,,,7.5,,,,,,,,,,,,,8.28,100,40.045,7.625,162.061,,,,,,
251,02 November 2020,FG 020 - 13,,,,,,,24.22,50,,,,10,,,,,7.5,,,,,,,,,,,,,8.28,100,51.59,8.945,154.216,,,,,,
252,02 November 2020,FG 020 - 14,,,,,,,44.22,30,,,,10,,,,,7.5,,,,,,,,,,,,,8.28,100,54.485,9.225,151.43,,,,,,
253,02 November 2020,FG 020 - 15,,,,,,,39.72,35,,,,10,,,,,7,,,,,,,,,,,,,8.28,100,39.43,7.505,160.603,,,,,,
254,02 November 2020,FG 020 - 16,,,,,,,39.22,35,,,,10,,,,,7.5,,,,,,,,,,,,,8.28,100,39.46,7.44,157.696,,,,,,
255,02 November 2020,F 540 - 59,,,,,10,14.3,,20,47.7,,,,,,,8,,,,,,,,,,,,,,,100,99.94,15.4,163.19,,,,,,
256,02 November 2020,F 540 - 60,,,,,10,14.3,10,20,37.7,,,,,,,8,,,,,,,,,,,,,,,100,89.865,14.33,165.382,,,,,,
257,02 November 2020,F 540 - 61,,,,,10,14.3,15,25,27.7,,,,,,,8,,,,,,,,,,,,,,,100,93.275,14.955,168.547,,,,,,
258,02 November 2020,F 540 - 62,,,,,10,14.3,20,20,27.7,,,,,,,8,,,,,,,,,,,,,,,100,83.8,13.535,164.759,,,,,,
259,03 November 2020,1. TRL SAE 5W30 GF6 / SP (F4),,,,,5,,,30.72,45.5,,,5,,,,5.5,,,,,,,,,,,,,,8.28,100,67.435,11.44,164.458,,,,,,
260,03 November 2020,2. TRL SAE 5W30 CK-4 (F2),,,,,5,14.3,,69.5,,,,5,,,,6,,,,,,,,,,,0.2,,,,100,70.735,11.665,160.221,,,,,,
261,03 November 2020,3. TRL SAE 5W30 CK-4 (F3),,,,,5,14.3,,69.7,,,,5,,,,5.8,,,,,,,,,,,0.2,,,,100,69.39,11.615,162.788,,,,,,
262,03 November 2020,4. TRL SAE 10W40 SN (SEMI SYN),,,,,10,,,,,50,23.75,,,,,7.55,,,,,,,8.7,,,,,,,,100,96.945,14.69,157.802,,,,,,
263,03 November 2020,F 540 - 63,,,,,10,14.3,20,25,22.7,,,,,,,8,,,,,,,,,,,,,,,100,87.34,13.89,163.363,,,,,,
264,03 November 2020,F 540 - 64,,,,,10,14.3,25,15,27.2,,,,,,,8.5,,,,,,,,,,,,,,,100,87.42,12.99,147.909,,,,,,
265,03 November 2020,F 540 - 65,,,,,10,14.3,30,37.7,,,,,,,,8,,,,,,,,,,,,,,,100,76.51,12.94,170.82,,,,,,
266,03 November 2020,F 540 - 66,,,,,10,14.3,40,27.2,,,,,,,,8.5,,,,,,,,,,,,,,,100,74.15,12.695,172.111,,,,,,
267,03 November 2020,FG 020 - 17,,,,,,,40,35.72,,,,10,,,,6,,,,,,,,,,,,,,8.28,100,47.195,9.155,179.961,,,,,,
268,03 November 2020,FG 020 - 18,,,,,,,36.22,40,,,,10,,,,5.5,,,,,,,,,,,,,,8.28,100,45.83,8.99,181.407,,,,,,
269,04 November 2020,5. TRL 5W30 GF6 / SP (FS),,,,,5,,,30.72,46,,,5,,,,5,,,,,,,,,,,,,,8.28,100,66.125,11.265,164.489,,,,,,
270,04 November 2020,I. A.3 10W40 SP/GF6 - ODX,,,,,10,,,,74.12,,,,,,,7.6,,,,,,,,,,,,,,8.28,100,92.09,14.85,169.209,,,,,,
271,04 November 2020,II. A.1 5W30 SN PLUS - ODX,,,,1.5,5,,,34.3,40,,,5,,,,5.5,,,,,,,8.7,,,,,,,,100,65.765,11.61,173.148,,,,,,
272,04 November 2020,III. A.1 10W40 SN - ODX,,,,2.5,7.5,,,,,48.3,26,,,,,7,,,,,,,8.7,,,,,,,,100,89.605,13.21,147.478,,,,,,
273,04 November 2020,III. A.2 20W50 - SN - ODX,,,,2.5,7.5,,,,,14.3,60,,,,,7,,,,,,,8.7,,,,,,,,100,137.525,17.57,143.008,,,,,,
274,05 November 2020,G 1040 - 1,7.5,,,2.5,,,,,,28.3,45,,,,,8,,,,,,,8.7,,,,,,,,100,124.655,16.855,147.4,,,,,,
275,05 November 2020,G 1040 - 2,7.5,,,2.5,,,,,,43.3,30,,,,,8,,,,,,,8.7,,,,,,,,100,102.265,14.96,152.921,,,,,,
276,05 November 2020,G 1040 - 3,7.5,,,2.5,,,,,,53.8,20,,,,,7.5,,,,,,,8.7,,,,,,,,100,91.895,13.825,153.475,,,,,,
277,05 November 2020,G 1040 - 4,7.5,,,2.5,,,,,,48.8,25,,,,,7.5,,,,,,,8.7,,,,,,,,100,94.095,14.2,155.381,,,,,,
278,05 November 2020,G 2050 -1,7.5,,,2.5,,,,,,23.3,50,,,,,8,,,,,,,8.7,,,,,,,,100,127.935,17.17,146.886,,,,,,
279,05 November 2020,G 530 - 1,5,,,,,,,35,40.72,,,5,,,,6,,,,,,,,,,,,,,8.28,100,69.38,11.98,170.484,,,,,,
280,05 November 2020,G 530 - 2,5,,,,,,10,25,40.22,,,5,,,,6.5,,,,,,,,,,,,,,8.28,100,65.85,11.495,170.334,,,,,,
281,06 November 2020,TRL 5W30 SP/GF6,125,,,,,,,768,1150,,,125,,,,125,,,,,,,,,,,,,,207,2500,66.165,11.44,168.161,3.48519,7464.05,-29,5.1,,207
282,06 November 2020,TRL 10W40 SP/GF6,250,,,,,,,,1853,,,,,,,190,,,,,,,,,,,,,,207,2500,93.545,15,168.743,4.150855,5906.08,-23,4.7,,212
283,06 November 2020,TRL 10W40 - SN,187.5,,,62.5,,,,,,1207.5,650,,,,,175,,,,,,,217.5,,,,,,,,2500,93.825,13.73,148.465,3.959065,8276.61,-30,9.5,,187
284,06 November 2020,RD 1540 - 1,,2.5,,,,,,,,44,35,,,,,8,,,10.5,,,,,,,,,,,,100,111.145,15.87,152.197,,,,,0.48 / 0058604,
285,09 November 2020,RD 1540 - 2,,,,2.5,7.5,,,,,44,26.3,,,,,8,,,,,,,,,11.7,,,,,,100,102.965,14.64,147.15,4.03492,,,,,
